Guid,名字,预制体名字,位置信息,旋转信息,场景信息
00210001SCamp____199986C884C3D0C10CD8F0D1D14D1C00,005_062,SCamp##005_062, (26490.74， 113.0826， 1428.01) , (0， 0， 0) ,21_1
00210001SCamp____38E8C8DA4E2CE1539D356D12BD05D2DE,005_063,SCamp##005_063, (27003.25， 111.7114， 1401.831) , (0， 0， 0) ,21_1
00210001SCamp____1749CD23AEFBB9D9E1606D52A6D4D259,005_064,SCamp##005_064, (27359.87， 121.5538， 1490.54) , (0， 0， 0) ,21_1
00210001Build_Watchtower____5BCCC587DEEB041ED04480DC4A8DB8E5,001_009,Build_Watchtower##001_009, (26295.17， 131.4451， 1926.3) , (0， 0， 0) ,21_1
00210001Build_Watchtower____EC59D4D0C7DF9A1B3F6FA7865E9AC45E,000,Build_Watchtower##000, (26295.17， 131.4326， 1926.3) , (0， 0， 0) ,21_1
00210001Build_Watchtower____648F102F4ADA6DA895E6137662E0226C,002_017,Build_Watchtower##002_017, (26808.76， 123.778， 2045.437) , (0， 0， 0) ,21_1
00210001Build_Watchtower____AB0ADF8AE275BA9E0C17A999089715C0,000,Build_Watchtower##000, (26808.76， 123.7655， 2045.437) , (0， 0， 0) ,21_1
00210001Build_Watchtower____038E05028FD2CDE7A552BC9DECD3674F,003_018,Build_Watchtower##003_018, (27243.4， 126.9279， 1913.3) , (0， 0， 0) ,21_1
00210001Build_Watchtower____F35FEF8459C848085266DA0A76B8DAB7,000,Build_Watchtower##000, (27243.4， 126.9154， 1913.3) , (0， 0， 0) ,21_1
00210001RVCamps____0AF9427BF9C2F22F9972AC3C01BD0FBA,003_015,RVCamps##003_015, (27314.1， 143.6797， 2451) , (0， 0， 0) ,21_1
00210001RVCamps____C60015FF02E07994F5BD2C79448F705B,003_016,RVCamps##003_016, (26504.44， 172.5493， 2486.1) , (0， 0， 0) ,21_1
